Math_S11,Critical Reading_S11,Citizen Competencies_S11,Biology_S11,English_S11,Quantitative Reasoning_PRO,Critical Reading_PRO,Citizen Competencies_PRO,English_PRO,Written Communication_PRO,Formulation of Engineering Projects_PRO,Cluster,Efficient
76,74,67,71,74,98,55,86,92,15,197,0,0
73,77,82,66,82,82,98,67,80,52,164,0,0
97,74,70,96,82,100,92,88,82,18,186,0,0
67,77,82,67,76,100,76,1,86,90,100,0,0
74,64,70,68,59,96,59,3,83,84,166,0,0
71,87,70,68,74,89,79,85,87,74,161,0,0
73,77,77,82,65,80,67,89,75,61,175,0,0
96,59,70,100,68,99,90,76,81,83,168,0,0
68,77,70,78,70,95,89,76,89,39,158,0,0
60,71,73,60,74,89,85,70,90,58,144,0,1
77,67,70,69,78,95,56,39,81,52,162,0,0
74,67,62,74,78,99,100,60,97,89,150,0,1
77,78,67,69,78,92,88,92,92,95,183,0,1
58,59,60,60,64,84,78,83,67,63,183,0,1
73,66,67,87,85,95,72,95,94,41,184,0,0
81,74,70,78,64,96,100,99,84,23,212,0,0
63,59,52,69,43,84,62,59,72,70,158,0,1
76,54,41,74,76,100,50,58,83,65,181,0,1
60,59,56,64,50,78,54,74,68,68,175,0,1
76,64,60,71,59,82,15,53,80,44,161,0,0
81,77,82,74,65,87,91,99,89,46,207,0,0
71,63,58,74,67,87,32,70,79,52,166,0,0
77,72,64,71,82,99,94,93,93,9,189,0,0
60,64,56,56,52,87,72,61,70,45,162,0,1
68,63,54,63,76,93,74,4,88,22,127,0,0
82,74,60,72,68,99,80,25,92,58,106,0,0
74,87,82,100,85,93,97,73,93,0,153,0,0
69,87,82,70,95,85,98,96,98,24,228,0,0
77,74,77,82,62,86,84,95,49,100,164,0,0
58,66,62,55,57,65,94,86,69,12,176,0,1
60,58,62,67,65,79,81,89,75,53,176,0,1
62,66,53,49,46,69,66,83,59,96,182,0,1
45,54,62,63,64,53,75,87,77,85,159,0,1
65,77,65,68,67,71,93,96,88,24,190,0,0
100,82,82,87,85,99,92,75,98,4,188,0,0
86,74,77,74,72,83,88,97,97,75,180,0,0
67,87,58,65,78,100,95,90,93,88,195,0,1
68,67,62,61,52,71,74,74,65,81,149,0,1
57,64,65,63,68,86,79,90,97,15,174,0,1
58,59,67,63,76,94,52,49,90,64,180,0,1
55,66,67,65,55,78,77,82,77,77,143,0,1
68,56,91,70,50,70,86,86,63,65,180,0,1
62,52,56,63,57,92,63,43,74,86,74,0,1
67,60,67,63,49,71,66,95,54,69,179,0,1
62,66,62,71,57,94,94,98,68,52,169,0,1
65,68,51,61,62,84,92,25,77,35,35,0,0
68,57,60,75,65,70,91,27,84,16,87,0,0
70,66,60,74,65,63,60,57,73,50,148,0,0
96,69,70,87,76,94,85,98,99,100,185,0,0
78,77,73,78,78,94,92,87,95,81,171,0,0
58,81,67,64,57,80,94,84,87,80,183,0,1
73,87,67,65,42,97,74,63,1,39,164,0,0
62,62,56,61,65,80,69,59,75,97,155,0,1
61,65,60,65,44,86,93,62,86,51,215,0,1
68,77,62,72,59,72,60,84,64,17,171,0,0
65,61,62,72,57,93,37,47,85,50,156,0,0
78,69,62,82,60,94,56,29,79,30,111,0,0
57,56,70,67,49,88,70,32,74,61,61,0,0
74,71,67,75,80,92,91,77,97,0,161,0,0
70,74,70,72,64,93,74,98,89,96,195,0,1
70,64,67,71,85,95,98,96,96,96,144,0,1
70,66,65,69,70,84,77,83,87,40,181,0,1
65,59,65,64,65,74,84,88,60,65,60,0,0
69,55,54,64,64,98,71,92,72,69,69,0,1
81,74,70,69,82,92,87,88,98,84,209,0,1
65,65,54,74,62,99,60,50,87,51,150,0,0
64,60,58,60,85,91,83,90,99,74,183,0,1
87,67,67,74,50,100,62,91,59,59,165,0,0
76,71,73,77,72,95,97,85,85,87,157,0,1
63,63,57,60,85,99,50,64,97,66,172,0,1
71,63,58,69,44,30,83,88,47,49,166,0,0
63,55,58,63,64,73,45,87,77,69,150,0,1
58,72,62,74,58,92,88,93,88,36,201,0,1
56,72,64,60,64,79,67,65,57,43,149,0,0
69,58,64,75,72,97,81,88,86,81,179,0,1
55,58,56,69,65,97,73,81,88,70,70,0,1
70,65,64,62,78,71,74,92,92,83,83,0,1
74,55,67,65,68,96,1,72,84,51,192,0,0
49,63,56,63,55,93,88,67,38,54,166,0,1
64,58,65,60,58,92,79,76,61,80,168,0,1
48,62,64,53,53,91,68,84,62,43,169,0,1
77,74,60,72,68,98,65,83,91,91,177,0,1
74,72,73,81,78,91,95,92,86,79,200,0,1
69,64,73,75,85,88,86,57,92,31,129,0,0
57,62,55,60,42,96,80,67,54,83,152,0,1
62,58,55,61,53,75,70,91,80,36,142,0,1
61,67,60,61,68,77,74,4,84,62,141,0,0
76,62,67,71,62,97,97,64,86,59,197,0,1
67,60,58,81,57,88,82,56,57,79,176,0,1
50,54,51,52,46,78,52,99,77,48,211,0,1
82,69,100,75,82,100,90,67,96,94,206,0,0
64,60,56,63,74,99,67,72,90,74,74,0,1
66,64,64,66,72,91,53,75,93,72,185,0,1
77,65,67,71,65,80,61,49,69,84,128,0,0
71,72,64,63,76,77,84,83,82,35,183,0,0
74,65,64,61,67,84,93,80,71,84,141,0,1
97,66,77,82,82,94,95,88,78,25,175,0,0
77,68,56,75,62,94,46,44,80,44,44,0,0
74,75,73,77,67,100,81,47,84,0,167,0,0
82,65,62,75,65,89,58,29,78,46,136,0,0
63,64,62,70,70,69,97,82,89,92,187,0,1
73,74,91,68,82,94,86,96,95,98,165,0,0
62,58,62,60,68,70,71,70,79,27,150,0,0
63,78,73,65,78,97,82,85,93,13,13,0,0
64,71,70,61,53,72,93,92,39,28,185,0,0
87,78,76,70,92,96,92,95,100,89,192,0,0
73,60,56,60,74,95,96,80,84,65,65,0,1
82,71,82,70,62,99,81,95,81,96,203,0,1
78,64,62,78,57,99,87,69,74,86,86,0,1
73,62,56,65,67,99,75,85,76,92,169,0,1
71,72,73,95,82,99,96,89,87,0,198,0,0
100,77,67,87,82,95,49,94,93,97,136,0,0
61,63,56,69,60,92,64,79,64,76,76,0,1
100,71,82,81,95,100,88,100,98,52,200,0,0
82,69,77,74,78,100,97,93,97,58,195,0,0
61,57,60,63,50,78,80,73,67,31,163,0,1
73,74,67,69,70,90,95,17,83,57,166,0,0
67,69,67,77,80,98,97,87,88,98,155,0,1
78,56,48,64,78,85,78,74,87,62,169,0,1
81,77,77,65,80,98,81,100,93,65,180,0,0
87,67,82,81,100,96,96,68,99,59,191,0,0
70,74,67,75,90,98,90,78,91,72,171,0,0
77,78,67,87,90,92,57,80,91,81,172,0,0
65,64,70,75,82,81,31,31,93,89,120,0,0
65,66,73,66,76,81,72,92,90,98,178,0,1
82,82,67,71,67,97,98,92,92,79,184,0,1
60,60,67,57,67,73,91,79,87,50,150,0,1
82,78,64,71,58,100,72,95,79,15,166,0,0
65,61,65,75,72,86,97,92,90,87,186,0,1
73,62,56,61,57,89,77,88,66,77,173,0,1
76,81,73,74,74,80,82,91,84,81,91,0,0
57,56,53,58,54,89,57,51,77,77,77,0,1
71,77,82,72,85,89,88,90,96,96,177,0,0
67,62,62,74,53,94,82,43,37,99,155,0,1
74,65,62,74,64,96,80,77,81,90,74,0,1
74,77,70,82,74,99,76,37,96,59,197,0,0
95,71,100,81,74,97,96,90,85,77,200,0,0
96,61,77,81,70,99,74,83,94,98,169,0,0
71,58,62,75,60,99,72,82,82,67,191,0,1
60,62,58,55,54,88,66,86,77,85,159,0,1
82,66,77,78,72,99,93,95,94,44,208,0,0
87,74,70,78,78,98,98,92,97,92,199,0,1
71,67,70,71,80,99,87,92,96,99,224,0,1
63,67,62,60,54,82,72,85,69,98,146,0,1
82,65,67,77,72,90,95,95,91,28,203,0,0
77,65,58,69,74,92,86,91,96,90,192,0,1
55,58,58,67,82,96,57,74,97,28,133,0,0
86,71,82,65,74,99,92,95,79,100,202,0,1
47,50,53,55,76,61,40,78,86,64,156,0,1
88,81,90,96,95,98,83,97,93,96,117,0,0
68,69,64,65,64,100,93,78,63,50,161,0,1
70,74,62,70,60,91,90,95,70,0,203,0,0
68,61,67,71,43,67,47,91,71,80,163,0,1
64,56,62,57,65,82,65,71,85,90,163,0,1
97,74,73,78,82,96,88,75,94,72,182,0,0
87,74,67,75,100,99,97,84,100,100,191,0,0
73,58,60,60,60,99,97,82,74,87,169,0,1
86,87,100,77,80,78,80,89,93,50,154,0,0
82,75,62,69,95,71,76,80,92,57,187,0,0
82,75,67,71,82,92,85,94,91,53,211,0,0
63,77,77,66,67,78,96,99,78,11,198,0,0
97,100,77,87,85,95,88,95,98,16,182,0,0
65,74,67,68,58,86,55,80,74,91,148,0,1
100,87,90,95,74,95,93,99,90,95,184,0,0
82,78,73,87,95,96,89,99,96,16,184,0,0
82,72,77,81,80,100,87,99,95,84,184,0,0
70,64,67,71,44,88,95,89,56,39,171,0,1
58,63,54,60,60,63,53,55,78,84,177,0,1
87,87,90,81,78,94,63,98,99,99,129,0,0
68,61,62,74,52,96,88,100,57,80,150,0,1
95,87,70,81,95,87,93,14,98,50,188,0,0
68,69,58,65,68,96,56,75,89,26,208,0,0
70,61,62,68,76,85,76,83,86,88,88,0,1
74,69,67,67,72,90,78,75,90,94,180,0,1
82,87,73,81,95,98,39,17,99,85,68,0,0
81,66,55,74,100,86,12,25,96,100,93,0,0
66,69,64,66,80,97,89,93,9,65,190,0,0
81,60,56,67,78,98,87,5,98,42,80,0,0
74,78,77,77,74,99,99,100,88,90,173,0,1
58,69,58,67,48,80,35,75,70,27,151,0,0
71,58,77,70,49,94,88,86,30,19,159,0,0
71,64,58,61,60,91,70,65,51,91,165,0,1
54,56,60,59,54,57,76,91,74,84,179,0,1
71,57,73,61,59,89,56,70,73,33,204,0,0
86,69,77,100,90,100,92,92,92,84,192,0,0
60,64,60,63,64,80,64,94,75,50,195,0,1
59,62,67,61,53,95,70,55,60,92,190,0,1
69,60,58,64,55,99,75,66,83,99,162,0,1
57,64,67,65,55,83,94,22,86,31,183,0,0
58,66,60,68,70,87,50,95,86,72,158,0,1
57,58,62,61,68,99,64,89,80,51,169,0,1
60,62,55,55,49,74,70,73,69,57,201,0,1
73,64,62,81,60,99,79,53,77,53,171,0,0
78,69,73,87,68,100,88,97,85,69,180,0,1
61,63,64,63,44,88,72,89,57,41,144,0,1
70,64,73,75,78,96,86,43,83,0,167,0,0
63,71,67,58,78,90,72,29,80,57,117,0,0
96,59,56,68,53,95,95,84,63,82,162,0,1
77,78,73,69,85,98,94,93,95,34,201,0,0
57,66,58,58,78,53,77,55,71,61,151,0,0
97,81,73,82,100,97,98,91,97,24,155,0,0
72,73,64,75,67,100,86,9,92,72,106,0,0
88,77,73,87,85,96,91,97,100,71,227,0,0
70,74,65,72,95,97,89,97,100,76,185,0,1
69,71,73,70,90,99,91,71,98,40,163,0,0
69,66,77,64,80,88,92,94,92,70,195,0,1
82,78,67,71,85,93,97,81,97,99,173,0,1
65,61,62,65,95,70,81,69,97,90,163,0,1
61,66,60,59,67,76,73,37,87,80,129,0,1
60,68,62,66,76,78,77,70,69,23,175,0,0
69,66,70,68,76,91,94,96,94,89,198,0,1
70,68,60,64,90,82,92,69,90,97,133,0,1
61,72,62,60,80,80,80,73,92,75,154,0,1
81,100,82,96,100,100,98,87,98,20,205,0,0
62,74,67,67,68,91,73,5,91,93,157,0,0
86,62,73,77,64,100,67,85,80,27,209,0,0
52,66,67,58,60,78,93,96,63,82,176,0,1
71,67,60,65,82,100,97,77,90,79,152,0,1
67,69,60,67,58,64,74,71,47,90,80,0,0
73,66,67,87,60,97,97,90,87,10,153,0,0
76,62,53,63,67,70,89,60,85,43,165,0,1
82,77,67,75,72,92,80,13,90,45,173,0,0
77,69,73,77,70,92,98,19,90,4,128,0,0
78,71,70,78,74,95,99,98,95,99,182,0,1
68,69,64,65,67,93,99,98,85,91,186,0,1
55,62,62,65,46,94,89,83,39,73,208,0,1
77,71,70,75,82,87,97,96,99,91,216,0,1
73,64,77,72,82,93,100,91,92,12,170,0,0
77,64,73,64,72,100,99,91,94,29,29,0,0
61,60,56,56,62,86,75,67,71,17,152,0,1
78,87,73,66,85,100,100,70,89,47,207,0,0
68,59,56,61,57,88,80,74,79,77,176,0,1
66,71,70,82,52,93,58,77,79,23,77,0,0
81,71,70,77,59,99,97,88,85,35,177,0,0
58,52,65,70,65,99,82,77,73,7,7,0,0
63,61,82,69,54,87,90,93,46,49,217,0,1
62,74,62,71,68,94,93,88,92,100,159,0,1
65,74,73,68,90,96,98,98,94,71,190,0,1
64,62,60,69,38,94,76,70,62,40,162,0,1
77,64,60,70,46,83,84,69,77,5,141,0,0
66,64,54,59,42,97,78,82,75,74,200,0,1
60,64,65,63,64,85,86,77,79,96,195,0,1
63,63,60,71,54,78,36,85,58,61,177,0,0
74,65,70,71,78,94,96,95,91,47,188,0,1
63,61,51,66,65,47,80,89,75,81,159,0,1
71,71,73,70,70,98,75,92,86,48,204,0,1
74,67,82,77,70,98,91,94,84,73,174,0,1
69,81,67,68,80,91,65,82,94,67,212,0,0
81,74,77,77,76,100,82,98,93,97,182,0,1
74,69,73,70,76,76,91,82,93,76,93,0,0
100,64,65,78,59,85,91,62,60,75,175,0,0
70,66,56,65,59,99,32,86,76,91,164,0,1
87,74,77,96,85,100,95,96,95,34,167,0,0
63,75,60,71,54,94,68,74,56,23,162,0,0
82,71,70,78,82,98,100,96,95,91,202,0,1
71,62,60,68,64,100,85,81,66,85,81,0,1
86,71,77,81,78,97,87,91,96,20,164,0,0
68,74,67,62,58,94,85,79,79,49,49,0,0
67,64,65,61,67,98,79,11,84,68,144,0,0
65,59,70,64,76,91,91,18,77,29,134,0,0
59,64,70,61,48,66,57,85,77,63,63,0,0
64,74,53,60,48,97,94,63,51,12,173,0,0
63,66,62,62,68,98,48,30,88,71,186,0,0
60,57,56,62,60,88,82,53,65,96,158,0,1
63,75,70,61,70,99,96,97,86,87,158,0,1
74,67,60,67,59,99,86,88,66,11,189,0,0
73,95,82,81,76,100,99,100,91,95,199,0,0
82,69,73,87,100,98,99,90,97,14,172,0,0
73,64,67,87,76,100,98,80,91,24,144,0,0
78,66,73,72,64,87,65,48,78,95,165,0,0
67,66,53,71,74,97,52,74,93,36,186,0,0
62,64,65,74,57,79,76,38,56,51,195,0,0
73,64,56,71,57,94,90,65,51,42,156,0,0
78,55,56,66,68,74,20,75,86,94,94,0,0
76,71,73,69,85,99,100,98,99,21,219,0,0
82,72,82,71,82,86,74,39,88,35,170,0,0
69,62,62,68,60,97,60,81,42,40,171,0,0
70,71,77,71,67,88,80,81,92,99,175,0,1
74,75,64,77,62,95,76,91,79,12,174,0,0
77,69,67,65,85,100,96,89,90,49,153,0,0
78,77,82,72,65,97,89,99,89,0,181,0,0
77,71,73,87,55,99,92,86,63,14,194,0,0
81,81,70,81,78,96,93,96,95,0,209,0,0
81,77,73,81,76,100,95,85,84,48,177,0,0
57,66,73,72,65,99,92,84,84,44,191,0,1
76,62,65,74,68,69,67,88,76,52,201,0,0
69,64,70,62,58,84,68,69,76,35,169,0,0
69,60,56,59,95,78,86,89,96,92,160,0,1
57,60,62,71,60,96,83,79,76,82,164,0,1
65,68,65,70,58,95,92,89,87,86,229,0,1
67,77,73,81,80,94,92,95,100,80,184,0,1
74,58,56,72,60,98,75,87,89,19,19,0,0
100,75,90,87,80,97,98,92,95,31,196,0,0
82,60,64,78,54,91,83,30,67,67,205,0,0
71,63,52,65,58,99,93,52,54,51,179,0,1
82,65,62,71,76,94,95,87,91,70,117,0,1
65,64,70,66,59,87,70,21,35,86,169,0,0
68,65,64,71,62,89,94,82,50,58,193,0,1
61,61,62,65,60,87,89,79,70,52,158,0,1
63,61,56,55,64,100,63,62,71,31,134,0,1
82,74,82,75,85,93,84,91,92,72,189,0,0
70,54,62,58,55,99,97,17,65,62,62,0,0
63,68,70,66,64,93,78,36,82,84,84,0,0
95,66,70,65,55,100,42,68,51,43,177,0,0
68,61,55,55,70,69,71,27,68,92,156,0,0
82,64,77,66,65,99,72,80,80,53,80,0,0
70,69,65,71,78,79,77,87,91,94,180,0,1
57,56,52,66,60,63,81,70,66,84,173,0,1
70,66,62,70,74,99,94,86,88,93,153,0,1
77,63,64,67,64,99,64,83,77,50,192,0,1
67,77,77,65,74,99,95,100,91,79,200,0,1
74,71,67,87,85,99,93,100,94,64,208,0,0
74,67,77,81,78,77,71,98,99,97,98,0,0
70,74,62,78,82,99,95,86,99,95,175,0,1
96,81,100,96,100,100,93,100,100,98,211,0,0
61,49,58,58,57,96,56,57,82,50,137,0,1
71,66,58,72,55,98,59,88,73,43,194,0,1
77,64,62,62,70,81,62,36,74,80,118,0,0
63,74,91,70,85,96,98,93,3,81,179,0,0
68,64,70,68,80,84,87,89,92,51,164,0,1
64,77,70,64,74,81,77,86,84,45,174,0,0
40,59,62,67,64,84,83,97,89,99,196,0,1
63,67,82,71,90,89,95,95,97,2,158,0,0
82,62,62,68,82,91,88,100,84,75,126,0,1
74,65,64,61,90,99,99,90,96,45,45,0,0
87,72,70,69,72,98,89,92,91,25,175,0,0
57,66,60,52,53,87,77,94,71,40,143,0,1
81,81,62,70,67,96,47,73,90,83,149,0,0
66,64,64,72,52,89,84,87,60,54,169,0,1
67,66,62,71,72,89,67,92,83,11,179,0,0
67,62,55,61,64,98,80,61,87,36,159,0,1
68,63,58,65,65,92,65,80,85,55,175,0,1
68,67,67,58,74,95,78,27,90,89,148,0,0
74,66,70,68,67,98,92,94,81,67,154,0,1
100,72,82,74,82,100,98,53,86,72,203,0,0
81,62,91,74,67,95,96,89,92,80,173,0,1
63,69,60,65,78,71,84,80,92,82,144,0,1
81,81,77,77,68,97,91,37,91,84,62,0,0
54,59,62,64,60,90,29,43,71,66,168,0,0
70,77,77,75,70,97,20,82,87,55,151,0,0
77,71,77,70,80,100,84,89,88,70,160,0,0
66,69,73,68,80,99,99,57,91,94,161,0,1
66,56,54,50,70,95,37,24,90,63,140,0,0
75,62,66,59,70,77,87,88,91,33,177,0,1
82,72,67,95,76,100,88,71,91,92,183,0,0
73,64,70,72,70,70,92,82,81,65,160,0,0
70,86,73,70,76,100,95,91,81,93,192,0,1
72,67,58,69,88,85,96,91,97,43,193,0,1
55,66,65,58,54,78,61,63,79,94,79,0,1
87,68,82,75,78,100,99,74,92,69,204,0,0
82,62,60,78,64,93,81,90,87,33,214,0,1
62,60,56,55,60,81,60,65,72,85,132,0,1
74,69,64,66,76,100,67,81,93,86,86,0,0
100,77,82,81,90,98,88,89,95,57,180,0,0
73,52,62,63,65,70,66,52,74,98,130,0,1
87,74,65,82,85,94,19,67,97,52,92,0,0
100,69,73,87,95,98,95,90,98,77,177,0,0
82,74,82,78,95,99,94,95,98,88,198,0,0
86,74,58,74,80,100,92,95,96,57,165,0,0
70,60,53,67,67,95,82,69,86,24,144,0,1
74,63,60,67,64,70,88,67,77,66,175,0,1
59,69,77,66,67,87,91,95,87,91,178,0,1
63,69,70,67,64,92,76,69,60,19,161,0,0
77,75,64,77,72,99,74,73,88,21,124,0,0
73,60,62,74,85,95,92,88,85,45,120,0,0
61,59,70,65,59,89,45,58,85,68,68,0,0
76,69,73,71,82,100,94,93,97,63,195,0,1
60,62,77,81,82,83,39,45,92,83,157,0,0
71,61,62,69,54,96,67,11,72,75,119,0,0
62,56,58,60,44,94,89,70,44,57,57,0,1
81,66,77,71,60,100,88,93,81,14,175,0,0
77,78,73,65,90,93,98,97,95,71,171,0,0
74,63,82,87,80,86,96,78,96,48,189,0,0
71,95,70,64,70,98,100,93,86,99,197,0,1
73,71,73,78,54,89,100,91,76,91,198,0,1
66,62,50,70,67,80,84,95,75,65,149,0,1
55,62,58,60,90,100,69,17,94,32,32,0,0
55,56,56,51,59,73,91,51,66,84,138,0,1
82,72,64,77,90,81,92,90,96,84,158,0,0
58,55,64,46,85,76,57,69,97,86,154,0,1
68,61,73,60,95,84,56,85,97,81,175,0,0
58,74,82,64,57,100,74,84,79,13,201,0,0
60,58,62,58,68,54,76,85,79,61,134,0,1
67,64,70,69,59,83,77,56,70,17,107,0,0
57,60,64,75,76,81,97,26,76,11,126,0,0
78,69,73,70,57,95,92,90,77,96,90,0,1
73,86,77,78,85,98,94,86,92,100,168,0,0
73,71,91,58,60,93,82,73,79,35,188,0,0
95,77,60,61,82,100,93,91,87,58,58,0,0
67,62,70,71,58,98,78,83,74,99,83,0,1
73,58,53,67,74,96,71,3,87,68,191,0,0
58,59,55,68,52,73,53,73,55,83,140,0,1
65,73,68,65,82,95,54,96,91,54,168,0,0
74,87,73,72,80,100,87,82,92,15,180,0,0
70,59,73,72,59,73,69,72,66,32,149,0,0
71,69,67,65,72,89,94,76,91,54,212,0,1
77,65,60,65,72,99,66,12,94,3,3,0,0
70,64,70,70,43,93,89,100,65,58,187,0,1
60,77,70,69,78,94,98,79,92,51,51,0,0
71,69,62,70,60,99,94,100,80,76,80,0,1
67,60,58,67,53,87,87,89,66,72,163,0,1
95,87,65,87,64,96,95,94,90,72,189,0,0
74,66,62,72,65,88,99,92,93,75,174,0,1
86,66,73,71,68,95,88,97,71,87,152,0,1
71,75,60,67,74,90,87,58,88,70,185,0,1
63,63,77,69,53,17,62,89,59,53,154,0,0
60,64,77,62,74,81,95,90,86,75,178,0,1
67,56,62,65,72,92,60,74,79,94,74,0,1
61,60,52,75,58,92,44,87,75,90,151,0,1
65,65,64,61,64,77,58,86,85,64,157,0,1
54,59,56,59,74,83,70,84,96,61,61,0,1
68,57,77,61,85,78,48,98,99,99,159,0,1
74,75,70,87,68,98,100,97,86,98,163,0,1
64,60,70,58,54,93,68,60,73,57,169,0,1
87,71,82,78,70,98,99,95,92,52,185,0,0
60,71,77,62,60,93,21,54,63,89,163,0,0
62,69,70,77,60,98,93,97,90,9,188,0,1
54,59,67,60,60,58,85,8,90,96,140,0,1
57,64,56,74,78,92,80,80,91,63,174,0,1
62,58,58,60,78,87,50,66,87,91,108,0,1
70,68,62,75,64,74,61,75,68,98,98,0,0
70,54,58,71,54,85,92,84,78,69,69,0,1
73,61,73,75,100,99,94,98,100,20,175,0,0
71,67,70,63,78,91,75,79,94,3,171,0,0
65,57,64,61,60,93,67,79,70,90,153,0,1
69,69,62,70,70,95,76,78,90,46,164,0,1
48,62,55,51,85,60,68,56,96,44,134,0,0
54,65,67,58,67,37,87,86,68,38,38,0,0
54,61,58,63,48,82,78,68,67,79,79,0,1
60,66,70,62,74,93,89,96,91,59,187,0,1
66,74,70,70,55,100,98,68,68,44,44,0,0
73,81,70,68,90,99,94,90,98,38,160,0,0
67,71,65,67,70,69,79,95,88,94,161,0,1
70,50,43,61,70,100,62,63,97,62,172,0,1
65,66,70,68,55,92,48,64,71,67,67,0,0
76,58,65,69,64,95,61,67,87,21,159,0,0
71,69,77,78,82,91,87,88,97,92,92,0,0
67,74,67,77,42,99,96,59,41,8,187,0,0
82,87,77,74,95,88,83,77,92,97,162,0,0
74,59,73,69,72,77,87,69,48,95,165,0,0
73,69,60,71,58,79,91,19,47,90,19,0,0
67,62,65,71,59,100,94,98,81,67,67,0,1
51,55,52,54,58,79,88,69,60,45,154,0,1
96,63,58,87,48,98,79,59,40,57,171,0,0
74,62,70,70,62,93,81,75,82,33,160,0,0
86,74,77,87,78,100,94,95,93,80,207,0,0
57,64,67,68,50,76,83,66,66,27,188,0,1
66,64,62,70,78,95,87,85,96,97,178,0,1
53,58,51,63,48,92,64,64,34,95,156,0,1
67,62,67,63,64,92,93,68,87,95,181,0,1
59,62,70,59,70,99,93,88,96,97,97,0,1
74,78,90,81,85,100,99,95,92,50,186,0,0
82,81,77,78,95,86,81,83,100,46,157,0,0
77,67,70,87,72,100,79,2,93,83,169,0,0
63,54,68,62,57,97,75,68,56,42,121,0,1
73,77,70,71,85,87,87,74,96,43,165,0,0
68,57,52,67,48,87,63,53,82,84,170,0,1
63,71,77,78,58,83,76,92,80,50,208,0,1
74,67,73,77,64,95,74,96,81,20,161,0,0
62,60,77,71,74,95,85,83,85,47,182,0,1
100,64,65,77,59,99,93,79,77,88,187,0,1
86,77,70,71,59,99,93,92,69,98,192,0,1
71,59,67,63,55,81,51,59,70,26,133,0,0
61,65,73,61,80,77,95,92,90,90,177,0,1
68,71,77,68,82,92,89,98,94,99,175,0,1
68,61,62,67,65,62,64,77,82,65,167,0,1
60,60,62,61,48,90,67,84,77,42,159,0,1
60,71,91,72,90,87,92,90,96,3,175,0,0
71,71,70,62,70,87,98,80,85,96,170,0,1
73,68,82,64,72,76,88,94,90,56,174,0,0
73,74,82,65,76,91,90,85,96,98,181,0,1
63,59,62,66,62,69,70,63,43,49,144,0,0
56,68,65,59,52,92,100,95,81,26,171,0,1
64,64,62,67,70,76,76,76,81,37,177,0,1
69,66,54,66,55,89,75,77,82,69,164,0,1
70,77,73,58,90,94,84,10,85,92,170,0,0
86,69,56,81,74,92,76,93,90,95,161,0,1
77,68,60,75,80,95,87,77,94,95,172,0,1
77,68,77,70,85,90,95,87,92,96,182,0,1
71,71,60,75,80,84,97,33,81,71,207,0,0
66,60,58,66,62,76,69,62,78,63,158,0,1
70,63,60,59,88,12,91,97,99,100,182,0,0
70,57,66,66,65,95,94,46,77,87,174,0,1
76,71,91,87,95,100,100,100,99,0,195,0,0
68,64,77,58,74,100,82,96,92,88,186,0,1
73,71,82,63,42,93,87,81,45,25,204,0,0
77,75,70,95,78,100,99,97,87,53,149,0,0
65,67,70,66,70,98,93,89,86,53,173,0,1
78,77,82,82,76,97,97,98,76,100,206,0,0
67,69,67,74,100,89,88,86,92,37,205,0,0
82,87,77,87,68,100,100,43,66,88,220,0,0
78,64,62,82,59,99,93,86,93,50,172,0,1
70,66,73,75,67,97,80,76,86,61,179,0,1
63,61,73,61,78,79,94,78,92,50,50,0,0
70,71,65,75,78,91,90,86,93,71,71,0,0
63,59,60,58,72,97,89,92,90,87,87,0,1
87,68,77,75,82,98,100,95,100,98,201,0,1
55,69,62,64,49,63,52,40,82,96,174,0,1
81,68,67,72,72,97,88,82,81,88,88,0,0
100,67,56,77,58,94,87,73,86,73,157,0,0
74,67,54,74,53,89,67,77,86,11,172,0,0
57,69,70,53,49,78,92,56,54,26,136,0,0
82,63,64,77,76,92,87,88,95,48,180,0,0
67,60,67,57,64,77,59,92,57,72,165,0,1
73,68,65,62,67,97,89,80,88,46,143,0,1
78,62,64,72,70,96,86,12,81,61,173,0,0
87,74,82,96,85,100,100,99,97,90,209,0,0
82,77,77,75,76,97,65,85,93,18,169,0,0
76,74,77,69,78,95,77,18,89,56,148,0,0
82,74,82,70,95,98,98,97,96,94,197,0,0
76,64,70,77,44,96,76,89,14,55,154,0,0
63,61,70,68,64,65,71,85,66,51,136,0,0
73,77,65,74,65,99,93,87,86,20,224,0,0
56,57,56,54,52,77,63,85,64,56,189,0,1
87,78,77,81,67,87,96,91,85,95,91,0,0
86,66,65,77,64,94,69,89,90,62,62,0,0
64,64,58,77,70,91,100,45,78,73,73,0,0
77,74,82,78,62,94,98,95,81,97,216,0,1
58,57,62,63,57,95,75,82,86,44,86,0,1
76,77,65,100,68,90,95,35,83,28,28,0,0
87,56,62,66,80,96,29,65,90,70,127,0,0
64,55,62,61,53,98,74,60,77,72,192,0,1
74,69,73,74,74,79,30,93,81,79,176,0,0
77,59,62,59,59,92,60,71,91,60,145,0,1
87,66,77,75,85,99,95,88,88,99,164,0,0
73,66,70,77,78,97,88,60,96,67,194,0,0
77,72,54,77,76,100,95,95,90,61,144,0,1
50,69,58,71,54,89,58,78,69,90,175,0,1
74,63,73,81,70,98,90,88,88,99,222,0,1
81,81,73,77,100,92,99,86,99,30,158,0,0
95,74,100,95,82,100,95,100,95,79,148,0,0
81,71,82,81,74,77,89,99,81,83,203,0,0
77,61,60,63,90,83,94,52,88,100,151,0,1
